,Person,Total Gross,Number of Movies,Average,#1 Picture,Gross
0,Amy Adams,2402900000,30,$80.10 ,Batman v Superman,330400000
1,Ben Affleck,2517800000,39,$64.60 ,Batman v Superman,330400000
2,Casey Affleck,922800000,24,$38.40 ,Interstellar,188000000
3,Dianna Agron,132200000,5,$26.40 ,I Am Number Four,55100000
4,Jessica Alba,952300000,24,$39.70 ,Fantastic Four (2005),154700000
5,Alan Alda,753000000,22,$34.20 ,What Women Want,182800000
6,Mahershala Ali,1399600000,13,$107.70 ,Mockingjay Part 1,337100000
7,Joan Allen,854500000,25,$34.20 ,The Bourne Ultimatum,227500000
8,Tim Allen,1763000000,20,$88.10 ,Toy Story 3,415000000
9,Woody Allen,461300000,27,$17.10 ,Antz,90800000
10,Mathieu Amalric,300700000,13,$23.10 ,Quantum of Solace,168400000
11,Gillian Anderson,180300000,15,$12.00 ,X-Files,83900000
12,Julie Andrews,929000000,14,$66.40 ,Despicable Me 3,264600000
13,Jennifer Aniston,1627100000,32,$50.80 ,Bruce Almighty,242800000
14,Aziz Ansari,168600000,3,$56.20 ,Epic,107500000
15,Christina Applegate,1117100000,21,$53.20 ,Alvin and the Chipmunks 2,219600000
16,Tom Arnold,415900000,19,$21.90 ,True Lies,146300000
17,Rosanna Arquette,396900000,21,$18.90 ,Pulp Fiction,107900000
18,Gemma Arterton,517400000,14,$37.00 ,Quantum of Solace,168400000
19,Kevin Bacon,1519200000,48,$31.70 ,Apollo 13,173800000
20,Penn Badgley,134600000,6,$22.40 ,Easy A,58400000
21,Alec Baldwin,2708000000,56,$48.40 ,Mission: Impossible 6,220200000
22,Christian Bale,2293900000,39,$58.80 ,The Dark Knight,535200000
23,Eric Bana,1068300000,17,$62.80 ,Star Trek,257700000
24,Anne Bancroft,548000000,28,$19.60 ,The Graduate,104900000
25,Antonio Banderas,2386400000,43,$55.50 ,Shrek 2,441200000
26,Elizabeth Banks,3043000000,39,$78.00 ,Catching Fire,424700000
27,Javier Bardem,725000000,19,$38.20 ,Skyfall,304400000
28,Ben Barnes,287700000,5,$57.50 ,The Chronicles of Narnia: Prince Caspian,141600000
29,Drew Barrymore,1614600000,36,$44.90 ,E.T.,435100000
30,Justin Bartha,1134000000,12,$94.50 ,The Hangover,277300000
31,Jay Baruchel,1234100000,19,$65.00 ,How to Train Your Dragon,217600000
32,Kim Basinger,1185500000,36,$32.90 ,Batman,251200000
33,Angela Bassett,1801400000,27,$66.70 ,Black Panther,700100000
34,Jason Bateman,1961100000,32,$61.30 ,Zootopia,341300000
35,Kathy Bates,2355800000,49,$48.10 ,Titanic,659400000
36,Dave Bautista,1758500000,10,$175.90 ,Avengers: Infinity War,678800000
37,Sean Bean,1641800000,32,$51.30 ,Fellowship of the Ring,315500000
38,Warren Beatty,312200000,9,$34.70 ,Dick Tracy,103700000
39,Kate Beckinsale,1046100000,26,$40.20 ,Pearl Harbor,198500000
40,Ashley Bell,56200000,2,$28.10 ,The Last Exorcism,41000000
41,Jamie Bell,573900000,20,$28.70 ,King Kong,218100000
42,Kristen Bell,1035200000,19,$54.50 ,Frozen,400700000
43,Lake Bell,365500000,10,$36.50 ,It's Complicated,112700000
44,Maria Bello,988300000,30,$32.90 ,Grown Ups,162000000
45,Monica Bellucci,1027900000,16,$64.20 ,Passion of the Christ,370800000
46,Roberto Benigni,88900000,11,$8.10 ,Life Is Beautiful,57600000
47,Annette Bening,1030300000,31,$33.20 ,Captain Marvel,416000000
48,Melissa Benoist,50500000,2,$25.30 ,The Longest Ride,37400000
49,Peter Berg,229800000,5,$46.00 ,Collateral,101000000
50,Gael Garcia Bernal,317000000,24,$13.20 ,Coco,209700000
51,Halle Berry,1988100000,32,$62.10 ,X-Men: The Last Stand,234400000
52,Paul Bettany,2605800000,25,$104.20 ,Avengers: Infinity War,678800000
53,Justin Bieber,79200000,2,$39.60 ,Justin Bieber,73000000
54,Jessica Biel,773000000,25,$30.90 ,I Now Pronounce You Chuck and Larry,120100000
55,Rachel Bilson,95300000,5,$19.10 ,Jumper,80200000
56,Mike Binder,19100000,2,$9.50 ,The Upside of Anger,18800000
57,Brad Bird,608600000,1,$608.60 ,Incredibles 2,608600000
58,Jack Black,2091100000,27,$77.40 ,Jumanji (2017),404600000
59,Lucas Black,730200000,12,$60.80 ,Furious 7,353000000
60,Macon Blair,9400000,3,$3.10 ,The Florida Project,5900000
61,Cate Blanchett,3487500000,45,$77.50 ,Return of the King,377800000
62,Nikki Blonsky,118900000,3,$39.60 ,Hairspray (2007),118900000
63,Orlando Bloom,2988400000,18,$166.00 ,Dead Man's Chest,423300000
64,Emily Blunt,1470200000,29,$50.70 ,A Quiet Place,188000000
65,Chadwick Boseman,2403900000,8,$300.50 ,Black Panther,700100000
66,Kate Bosworth,529300000,19,$27.90 ,Superman Returns,200100000
67,Sofia Boutella,426600000,6,$71.10 ,Star Trek Beyond,158800000
68,John Boyega,1655000000,6,$275.80 ,Star Wars: The Force Awakens,936700000
69,Luke Bracey,171000000,5,$34.20 ,Hacksaw Ridge,67200000
70,Zach Braff,281700000,6,$47.00 ,Oz The Great and Powerful,234900000
71,Kenneth Branagh,919200000,19,$48.40 ,Harry Potter / Chamber of Secrets,262200000
72,Russell Brand,1187400000,10,$118.70 ,Despicable Me 2,368100000
73,Marlon Brando,552800000,12,$46.10 ,The Godfather,135000000
74,Benjamin Bratt,1053100000,21,$50.10 ,Despicable Me 2,368100000
75,Ewen Bremner,1161800000,16,$72.60 ,Wonder Woman,412600000
76,Abigail Breslin,1103900000,21,$52.60 ,Signs,228000000
77,Jordana Brewster,1157800000,7,$165.40 ,Furious 7,353000000
78,Chris 'Ludacris' Bridges,1513500000,14,$108.10 ,Furious 7,353000000
79,Jeff Bridges,1804700000,54,$33.40 ,Iron Man,318400000
80,Jim Broadbent,1156200000,47,$24.60 ,Harry Potter 6,302100000
81,Matthew Broderick,1396900000,36,$38.80 ,Lion King,422800000
82,Adam Brody,492700000,18,$27.40 ,Mr. & Mrs. Smith,186300000
83,Adrien Brody,603400000,33,$18.30 ,King Kong,218100000
84,Josh Brolin,3122500000,40,$78.10 ,Avengers: Infinity War,678800000
85,Albert Brooks,1208300000,21,$57.50 ,Finding Dory,486300000
86,Pierce Brosnan,1611000000,40,$40.30 ,Mrs. Doubtfire,219200000
87,Chris Brown,269400000,6,$44.90 ,Think Like a Man,91500000
88,Emily Browning,238900000,11,$21.70 ,Lemony Snicket,118600000
89,Sandra Bullock,2602800000,36,$72.30 ,Minions,336000000
90,Billy Burke,1766500000,16,$110.40 ,The Twilight Saga: Eclipse,300500000
91,Edward Burns,370300000,13,$28.50 ,Saving Private Ryan,216500000
92,Ty Burrell,444900000,10,$44.50 ,The Incredible Hulk,134800000
93,Gerard Butler,1655200000,32,$51.70 ,How to Train Your Dragon,217600000
94,Amanda Bynes,435600000,7,$62.20 ,Robots,128200000
95,Rose Byrne,1641100000,28,$58.60 ,Bridesmaids,169100000
96,Nicolas Cage,2408300000,58,$41.50 ,National Treasure: Book of Secrets,220000000
97,Michael Caine,3440100000,61,$56.40 ,The Dark Knight,535200000
98,Neve Campbell,501200000,13,$38.60 ,Scream,103000000
99,Steve Carell,3054100000,32,$95.40 ,Despicable Me 2,368100000
100,Jim Carrey,2545400000,28,$90.90 ,The Grinch,260000000
101,Helena Bonham Carter,2966700000,38,$78.10 ,Harry Potter / Deathly Hallows (P2),381200000
102,Dana Carvey,241600000,7,$34.50 ,Wayne's World,121700000
103,Katie Cassidy,150400000,4,$37.60 ,Nightmare on Elm Street,63100000
104,James Caviezel,748500000,22,$34.00 ,Passion of the Christ,370800000
105,Henry Cavill,1317400000,12,$109.80 ,Batman v Superman,330400000
106,Cedric the Entertainer,1512700000,29,$52.20 ,Madagascar 3,216400000
107,John Cena,606300000,10,$60.60 ,Bumblebee,127200000
108,Michael Cera,797500000,18,$44.30 ,The LEGO Batman Movie,175800000
109,Jackie Chan,1738500000,33,$52.70 ,Rush Hour 2,226200000
110,Jay Chandrasekhar,30700000,2,$15.30 ,Super Troopers 2,30600000
111,Jessica Chastain,1190100000,21,$56.70 ,The Martian,228400000
112,Don Cheadle,4016700000,36,$111.60 ,Avengers: Infinity War,678800000
113,Cher,493700000,12,$41.10 ,Mamma Mia 2,120600000
114,Morris Chestnut,648400000,15,$43.20 ,Identity Thief,134500000
115,Jay Chou,105300000,2,$52.70 ,The Green Hornet,98800000
116,Erika Christensen,203500000,11,$18.50 ,Flightplan,89700000
117,Hayden Christensen,868700000,11,$79.00 ,Revenge of the Sith,380300000
118,Jamie Chung,570900000,9,$63.40 ,The Hangover Part II,254500000
119,Thomas Haden Church,1176100000,19,$61.90 ,Spider-Man 3,336500000
120,Jemaine Clement,745100000,15,$49.70 ,Moana,248800000
121,George Clooney,2078800000,34,$61.10 ,Gravity,274100000
122,Glenn Close,1388300000,34,$40.80 ,Guardians of the Galaxy,333200000
123,Sacha Baron Cohen,1345900000,12,$112.20 ,Madagascar 3,216400000
124,Toni Collette,1016900000,40,$25.40 ,Sixth Sense,293500000
125,Lily Collins,413100000,9,$45.90 ,The Blind Side,256000000
126,Sean 'P. Diddy' Combs,126400000,4,$31.60 ,Get Him to the Greek,61000000
127,Common,1421800000,25,$56.90 ,Suicide Squad,325100000
128,Jennifer Connelly,1032900000,34,$30.40 ,A Beautiful Mind,170700000
129,Sean Connery,1550600000,37,$41.90 ,Indiana Jones and the Last Crusade,197200000
130,Steve Coogan,1996200000,29,$68.80 ,Despicable Me 2,368100000
131,Sophie Cookson,276900000,3,$92.30 ,Kingsman,128300000
132,Jennifer Coolidge,551600000,14,$39.40 ,Legally Blonde,96500000
133,Bradley Cooper,4397800000,30,$146.60 ,Avengers: Infinity War,678800000
134,Chris Cooper,1671000000,35,$47.70 ,The Amazing Spider-Man 2,202900000
135,Dominic Cooper,684200000,20,$34.20 ,Captain America,176700000
136,Sharlto Copley,573300000,10,$57.30 ,Maleficent,241400000
137,Sofia Coppola,66700000,1,$66.70 ,The Godfather Part III,66700000
138,John Corbett,591700000,13,$45.50 ,My Big Fat Greek Wedding,241400000
139,Abbie Cornish,339500000,14,$24.20 ,Limitless,79200000
140,Kevin Costner,2124800000,39,$54.50 ,Man of Steel,291000000
141,Marion Cotillard,1183300000,20,$59.20 ,The Dark Knight Rises,448100000
142,Jai Courtney,983100000,12,$81.90 ,Suicide Squad,325100000
143,Brian Cox,1807100000,47,$38.40 ,X2: X-Men United,214900000
144,Courteney Cox,579500000,14,$41.40 ,Bedtime Stories,110100000
145,Tony Cox,546900000,10,$54.70 ,Oz The Great and Powerful,234900000
146,Daniel Craig,1586500000,26,$61.00 ,Skyfall,304400000
147,Bryan Cranston,1341500000,22,$61.00 ,Madagascar 3,216400000
148,Chace Crawford,78400000,6,$13.10 ,What to Expect When You're Expecting,41200000
149,Amanda Crew,177800000,8,$22.20 ,The Haunting in Connecticut,55400000
150,Russell Crowe,1804500000,34,$53.10 ,Man of Steel,291000000
151,Billy Crudup,968300000,27,$35.90 ,Justice League,229000000
152,Tom Cruise,3997600000,40,$99.90 ,War of the Worlds,234300000
153,Penelope Cruz,923100000,38,$24.30 ,Pirates of the Caribbean 4,241100000
154,Billy Crystal,1358600000,19,$71.50 ,"Monsters, Inc.",289900000
155,Ice Cube,1554000000,32,$48.60 ,22 Jump Street,191700000
156,Macaulay Culkin,712800000,11,$64.80 ,Home Alone,285800000
157,Rory Culkin,290200000,13,$22.30 ,Signs,228000000
