Average,BestPic_Gross,Best_Picture,DirectorName,No_Of_Movies,Total_Gross,_id
$3.0,$4.4,Flash of Genius,Marc Abraham,2,$6.1,5cbf57e7f1b3f84eb09ba402
$43.5,$83.5,Airplane!,Jim Abrahams,8,$348.0,5cbf57e7f1b3f84eb09ba403
$336.8,$936.7,Star Wars: The Force Awakens,J.J. Abrams,5,"$1,684.2",5cbf57e7f1b3f84eb09ba404
$192.5,$441.2,Shrek 2,Andrew Adamson,6,"$1,154.7",5cbf57e7f1b3f84eb09ba405
$5.8,$5.8,Bordello of Blood,Gilbert Adler,1,$5.8,5cbf57e7f1b3f84eb09ba406
$64.7,$136.0,Argo,Ben Affleck,4,$258.9,5cbf57e7f1b3f84eb09ba407
$409k,$409k,I'm Still Here,Casey Affleck,1,$409k,5cbf57e7f1b3f84eb09ba408
$30.8,$37.3,Jumping the Broom,Salim Akil,2,$61.7,5cbf57e7f1b3f84eb09ba409
$11.0,$24.1,"Tinker, Tailor, Soldier, Spy",Tomas Alfredson,3,$33.0,5cbf57e7f1b3f84eb09ba40a
$88.3k,$88.3k,Crazy on the Outside,Tim Allen,1,$88.3k,5cbf57e7f1b3f84eb09ba40b
$13.4,$56.8,Midnight in Paris,Woody Allen,44,$591.4,5cbf57e7f1b3f84eb09ba40c
$22.4,$26.2,Ramona and Beezus,Elizabeth Allen (II),2,$44.8,5cbf57e7f1b3f84eb09ba40d
$4.3,$12.9,Volver,Pedro Almodovar,15,$64.7,5cbf57e7f1b3f84eb09ba40e
$13.9,$81.6,M.A.S.H.,Robert Altman,20,$277.7,5cbf57e7f1b3f84eb09ba40f
$52.8,$89.2,Don't Breathe,Fede Alvarez,3,$158.3,5cbf57e7f1b3f84eb09ba410
$11.8,$13.3,Case 39,Christian Alvart,2,$23.6,5cbf57e7f1b3f84eb09ba411
$19.9,$96.5,The Others,Alejandro Amenabar,5,$99.7,5cbf57e7f1b3f84eb09ba412
$507k,$507k,The Two Faces of January,Hossein Amini,1,$507k,5cbf57e7f1b3f84eb09ba413
$60.2,$150.4,Daddy's Home,Sean Anders,7,$421.6,5cbf57e7f1b3f84eb09ba414
$8.5,$51.9,The Call,Brad Anderson,7,$59.6,5cbf57e7f1b3f84eb09ba415
$19.1,$40.2,There Will Be Blood,Paul Thomas Anderson,8,$152.8,5cbf57e7f1b3f84eb09ba416
$36.8,$80.3,Alien Vs. Predator,Paul W.S. Anderson,12,$441.3,5cbf57e7f1b3f84eb09ba417
$29.3,$59.3,The Grand Budapest Hotel,Wes Anderson,9,$263.8,5cbf57e7f1b3f84eb09ba418
$237.3,$237.3,Brave,Mark Andrews,1,$237.3,5cbf57e7f1b3f84eb09ba419
$50.8,$50.8,The Boxtrolls,Graham Annable,1,$50.8,5cbf57e7f1b3f84eb09ba41a
$21.0,$51.4,Enemy at the Gates,Jean-Jacques Annaud,9,$188.6,5cbf57e7f1b3f84eb09ba41b
$18.2,$52.0,Predators,Nimród Antal,5,$91.0,5cbf57e7f1b3f84eb09ba41c
$39.4,$39.4,Burlesque,Steven Antin,1,$39.4,5cbf57e7f1b3f84eb09ba41d
$81.4,$148.8,Knocked Up,Judd Apatow,6,$488.6,5cbf57e7f1b3f84eb09ba41e
$31.9,$126.9,World Is Not Enough,Michael Apted,18,$574.9,5cbf57e7f1b3f84eb09ba41f
$292k,$713k,Mysterious Skin,Gregg Araki,7,$2.0,5cbf57e7f1b3f84eb09ba420
$9.7,$50.1,Little Women (1994),Gillian Armstrong,6,$57.9,5cbf57e7f1b3f84eb09ba421
