Domestic Gross,Movie,Production Budget,Release_Date,Worldwide Gross,_id
"$760,507,625",Avatar,425000000.0,2009-12-18,2776345279.0,5cbf6a3df1b3f84eb09bd4e0
"$241,063,875",Pirates of the Caribbean: On Stranger Tides,410600000.0,2011-05-20,1045663875.0,5cbf6a3df1b3f84eb09bd4e1
"$459,005,868",Avengers: Age of Ultron,330600000.0,2015-05-01,1403013963.0,5cbf6a3df1b3f84eb09bd4e2
"$620,181,382",Star Wars Ep. VIII: The Last Jedi,317000000.0,2017-12-15,1316721747.0,5cbf6a3df1b3f84eb09bd4e3
"$936,662,225",Star Wars Ep. VII: The Force Awakens,306000000.0,2015-12-18,2053311220.0,5cbf6a3df1b3f84eb09bd4e4
"$678,815,482",Avengers: Infinity War,300000000.0,2018-04-27,2048797682.0,5cbf6a3df1b3f84eb09bd4e5
"$309,420,425",Pirates of the Caribbean: At Worldâs End,300000000.0,2007-05-24,963420425.0,5cbf6a3df1b3f84eb09bd4e6
"$229,024,295",Justice League,300000000.0,2017-11-17,655945209.0,5cbf6a3df1b3f84eb09bd4e7
"$200,074,175",Spectre,300000000.0,2015-11-06,879620923.0,5cbf6a3df1b3f84eb09bd4e8
"$448,139,099",The Dark Knight Rises,275000000.0,2012-07-20,1084439099.0,5cbf6a3df1b3f84eb09bd4e9
"$89,302,115",The Lone Ranger,275000000.0,2013-07-02,260002115.0,5cbf6a3df1b3f84eb09bd4ea
"$73,058,679",John Carter,275000000.0,2012-03-09,282778100.0,5cbf6a3df1b3f84eb09bd4eb
"$200,821,936",Tangled,260000000.0,2010-11-24,586477240.0,5cbf6a3df1b3f84eb09bd4ec
"$336,530,303",Spider-Man 3,258000000.0,2007-05-04,894860230.0,5cbf6a3df1b3f84eb09bd4ed
"$408,084,349",Captain America: Civil War,250000000.0,2016-05-06,1140069413.0,5cbf6a3df1b3f84eb09bd4ee
"$330,360,194",Batman v Superman: Dawn of Justice,250000000.0,2016-03-25,867500281.0,5cbf6a3df1b3f84eb09bd4ef
"$303,003,568",The Hobbit: An Unexpected Journey,250000000.0,2012-12-14,1017003568.0,5cbf6a3df1b3f84eb09bd4f0
"$302,089,278",Harry Potter and the Half-Blood Prince,250000000.0,2009-07-15,935213767.0,5cbf6a3df1b3f84eb09bd4f1
